active_rules,configuration,repetition,model_tokens,wall_time_seconds,model_tokens_per_second
0,Matched Empty Extension,1,16384,6.089381581172347,2690.5852066583257
0,Matched Empty Extension,2,16384,6.086372412741184,2691.915461121276
0,Matched Empty Extension,3,16384,6.0805755238980055,2694.481786404471
0,Matched Empty Extension,4,16384,6.100726752541959,2685.581679784849
0,Matched Empty Extension,5,16384,6.093890332616866,2688.5944947690436
1,LMSM-Checkpoint,1,16384,6.211759251542389,2637.5780735436306
1,LMSM-Checkpoint,2,16384,6.221370440907776,2633.5033664398497
1,LMSM-Checkpoint,3,16384,6.2047948613762856,2640.5385457603775
1,LMSM-Checkpoint,4,16384,6.241047669202089,2625.200265790419
1,LMSM-Checkpoint,5,16384,6.277513608336449,2609.950534912785
6,LMSM-Checkpoint,1,16384,6.183747034519911,2649.526235232229
6,LMSM-Checkpoint,2,16384,6.193765690550208,2645.240523870151
6,LMSM-Checkpoint,3,16384,6.199392099864781,2642.83977139587
6,LMSM-Checkpoint,4,16384,6.207373980432749,2639.4414210657537
6,LMSM-Checkpoint,5,16384,6.178237539716065,2651.8889723286625
15,LMSM-Checkpoint,1,16384,6.284735306166112,2606.9514787560333
15,LMSM-Checkpoint,2,16384,6.271864887326956,2612.301172671275
15,LMSM-Checkpoint,3,16384,6.2635482382029295,2615.7697485380463
15,LMSM-Checkpoint,4,16384,6.28782722260803,2605.6695611945165
15,LMSM-Checkpoint,5,16384,6.3086006520316005,2597.08941866906
