arm,category,denominator,step,cumulative_count,fraction
LMSM-Checkpoint,all,1600,64,1600,1.0
LMSM-Anytime,all,1566,1,41,0.026181353767560665
LMSM-Anytime,all,1566,2,130,0.08301404853128991
LMSM-Anytime,all,1566,4,150,0.09578544061302682
LMSM-Anytime,all,1566,5,194,0.12388250319284802
LMSM-Anytime,all,1566,6,264,0.1685823754789272
LMSM-Anytime,all,1566,7,308,0.1966794380587484
LMSM-Anytime,all,1566,8,332,0.2120051085568327
LMSM-Anytime,all,1566,9,405,0.25862068965517243
LMSM-Anytime,all,1566,10,476,0.30395913154533843
LMSM-Anytime,all,1566,11,566,0.3614303959131545
LMSM-Anytime,all,1566,12,652,0.4163473818646232
LMSM-Anytime,all,1566,13,706,0.4508301404853129
LMSM-Anytime,all,1566,14,751,0.47956577266922096
LMSM-Anytime,all,1566,15,802,0.51213282247765
LMSM-Anytime,all,1566,16,844,0.5389527458492975
LMSM-Anytime,all,1566,17,880,0.561941251596424
LMSM-Anytime,all,1566,18,910,0.5810983397190294
LMSM-Anytime,all,1566,19,951,0.60727969348659
LMSM-Anytime,all,1566,20,977,0.623882503192848
LMSM-Anytime,all,1566,21,1003,0.640485312899106
LMSM-Anytime,all,1566,22,1024,0.6538952745849298
LMSM-Anytime,all,1566,23,1047,0.6685823754789272
LMSM-Anytime,all,1566,24,1072,0.6845466155810983
LMSM-Anytime,all,1566,25,1090,0.6960408684546615
LMSM-Anytime,all,1566,26,1108,0.7075351213282248
LMSM-Anytime,all,1566,27,1119,0.7145593869731801
LMSM-Anytime,all,1566,28,1130,0.7215836526181354
LMSM-Anytime,all,1566,29,1141,0.7286079182630907
LMSM-Anytime,all,1566,30,1155,0.7375478927203065
LMSM-Anytime,all,1566,31,1172,0.7484035759897829
LMSM-Anytime,all,1566,32,1184,0.756066411238825
LMSM-Anytime,all,1566,33,1201,0.7669220945083014
LMSM-Anytime,all,1566,34,1205,0.7694763729246488
LMSM-Anytime,all,1566,35,1213,0.7745849297573435
LMSM-Anytime,all,1566,36,1223,0.780970625798212
LMSM-Anytime,all,1566,37,1233,0.7873563218390804
LMSM-Anytime,all,1566,38,1248,0.7969348659003831
LMSM-Anytime,all,1566,39,1254,0.8007662835249042
LMSM-Anytime,all,1566,40,1263,0.8065134099616859
LMSM-Anytime,all,1566,41,1268,0.80970625798212
LMSM-Anytime,all,1566,42,1278,0.8160919540229885
LMSM-Anytime,all,1566,43,1283,0.8192848020434227
LMSM-Anytime,all,1566,44,1287,0.8218390804597702
LMSM-Anytime,all,1566,45,1291,0.8243933588761175
LMSM-Anytime,all,1566,46,1298,0.8288633461047255
LMSM-Anytime,all,1566,47,1305,0.8333333333333334
LMSM-Anytime,all,1566,48,1310,0.8365261813537676
LMSM-Anytime,all,1566,49,1316,0.8403575989782887
LMSM-Anytime,all,1566,50,1319,0.8422733077905492
LMSM-Anytime,all,1566,51,1324,0.8454661558109834
LMSM-Anytime,all,1566,52,1329,0.8486590038314177
LMSM-Anytime,all,1566,53,1331,0.8499361430395913
LMSM-Anytime,all,1566,54,1335,0.8524904214559387
LMSM-Anytime,all,1566,55,1340,0.855683269476373
LMSM-Anytime,all,1566,56,1344,0.8582375478927203
LMSM-Anytime,all,1566,57,1349,0.8614303959131545
LMSM-Anytime,all,1566,58,1351,0.8627075351213283
LMSM-Anytime,all,1566,59,1355,0.8652618135376756
LMSM-Anytime,all,1566,60,1357,0.8665389527458492
LMSM-Anytime,all,1566,61,1364,0.8710089399744572
LMSM-Anytime,all,1566,62,1366,0.8722860791826309
LMSM-Anytime,all,1566,63,1370,0.8748403575989783
LMSM-Anytime,all,1566,64,1374,0.8773946360153256
LMSM-Anytime,all,1566,65,1376,0.8786717752234994
LMSM-Anytime,all,1566,66,1380,0.8812260536398467
LMSM-Anytime,all,1566,67,1383,0.8831417624521073
LMSM-Anytime,all,1566,68,1387,0.8856960408684547
LMSM-Anytime,all,1566,69,1389,0.8869731800766284
LMSM-Anytime,all,1566,70,1392,0.8888888888888888
LMSM-Anytime,all,1566,71,1395,0.8908045977011494
LMSM-Anytime,all,1566,72,1399,0.8933588761174968
LMSM-Anytime,all,1566,73,1400,0.8939974457215837
