arm,metric,category,count,min,q1,median,q3,p90,max,mean
LMSM-Checkpoint,trigger_step,all,1600,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,chemical_biological,951,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,copyright,8,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,cybercrime_intrusion,173,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,defamation,32,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,drugs_controlled_substances,117,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,fraud_deception,25,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,general_dangerous_harm,7,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,harassment_bullying,13,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,hate_discrimination,12,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,illegal_goods_services,42,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,misinformation_disinformation,204,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,privacy_sensitive_information,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,trigger_step,violence_physical_harm,15,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Anytime,trigger_step,all,1566,1.0,9.0,15.0,32.0,81.5,506.0,36.19348659003831
LMSM-Anytime,trigger_step,chemical_biological,82,9.0,18.25,30.0,58.25,120.50000000000009,345.0,54.19512195121951
LMSM-Anytime,trigger_step,copyright,107,1.0,1.0,2.0,2.0,2.0,2.0,1.6261682242990654
LMSM-Anytime,trigger_step,cybercrime_intrusion,228,4.0,12.75,18.0,37.0,86.50000000000028,494.0,43.86842105263158
LMSM-Anytime,trigger_step,defamation,34,11.0,15.0,18.0,24.75,41.3,62.0,23.235294117647058
LMSM-Anytime,trigger_step,drugs_controlled_substances,187,4.0,9.0,16.0,29.0,66.40000000000003,506.0,31.727272727272727
LMSM-Anytime,trigger_step,fraud_deception,45,6.0,11.0,18.0,35.0,166.6000000000002,422.0,53.75555555555555
LMSM-Anytime,trigger_step,general_dangerous_harm,2,52.0,59.0,66.0,73.0,77.2,80.0,66.0
LMSM-Anytime,trigger_step,harassment_bullying,35,2.0,13.0,25.0,48.5,135.4,299.0,51.77142857142857
LMSM-Anytime,trigger_step,hate_discrimination,34,15.0,22.25,35.5,61.5,169.2,419.0,70.61764705882354
LMSM-Anytime,trigger_step,illegal_goods_services,358,2.0,12.25,22.0,50.75,130.50000000000006,496.0,52.13966480446928
LMSM-Anytime,trigger_step,misinformation_disinformation,315,5.0,8.0,11.0,14.0,34.200000000000045,463.0,20.257142857142856
LMSM-Anytime,trigger_step,privacy_sensitive_information,2,15.0,24.75,34.5,44.25,50.1,54.0,34.5
LMSM-Anytime,trigger_step,self_harm,23,1.0,4.0,4.0,51.5,118.2,238.0,40.0
LMSM-Anytime,trigger_step,sexual_abuse_exploitation,8,9.0,15.0,39.0,45.25,49.0,56.0,32.75
LMSM-Anytime,trigger_step,violence_physical_harm,106,2.0,8.0,12.0,19.0,37.0,407.0,21.452830188679247
LMSM-Checkpoint,admitted_prefix_tokens,all,1600,64.0,64.0,64.0,64.0,64.0,64.0,64.0
LMSM-Checkpoint,avoided_model_tokens,all,1600,173.0,448.0,448.0,448.0,448.0,448.0,444.745625
LMSM-Anytime,admitted_prefix_tokens,all,1566,1.0,9.0,15.0,32.0,81.5,506.0,36.19348659003831
LMSM-Anytime,avoided_model_tokens,all,1566,6.0,476.25,496.0,502.0,507.0,511.0,472.48148148148147
